cps_year,occupation,sub_occupation_1,sub_occupation_2,total_number_employed_white,number_employed_white_per_100,total_number_employed_black,number_employed_black_per_100,total_number_employed_asian,number_employed_asian_per_100,total_number_employed_hispanic,number_employed_hispanic_per_100,acs_year
2024,Sales and office occupations,Sales and related occupations,"Models, demonstrators, and product promoters",33331.99999999999,0.015806487019830652,6448.0,0.015699684131510176,3432.0,0.017733997173204986,17472.0,0.027675527064588857,2023
2024,Sales and office occupations,Sales and related occupations,Travel agents,65685.0,0.031148718945685123,7656.000000000001,0.01864094009163181,5307.0,0.02742258828618848,10701.000000000002,0.016950309931213676,2023
2024,Sales and office occupations,Sales and related occupations,Advertising sales agents,110980.0,0.052628223012744696,4092.0,0.009963261083458382,5456.000000000001,0.02819250832663357,15376.0,0.024355477572408323,2023
2024,Sales and office occupations,Sales and related occupations,Counter and rental clerks,44454.00000000001,0.02108069044700444,8493.999999999998,0.020681314673239363,5890.0,0.030435094216252144,8122.0,0.012865191782199557,2023
2024,Sales and office occupations,Sales and related occupations,"Sales and related workers, all other",322806.0,0.15307898862724872,46632.0,0.11354027146721195,19296.0,0.09970722886193573,67938.0,0.10761332175561113,2023
2024,Sales and office occupations,Sales and related occupations,Insurance sales agents,465310.0,0.2206563205087424,79515.0,0.19360427787174808,27094.0,0.14000143339475987,107787.0,0.17073386193399948,2023
2024,Sales and office occupations,Sales and related occupations,"Securities, commodities, and financial services sales agents",182226.0,0.0864140436720167,26620.0,0.06481476296228302,30734.0,0.15881021827543182,28071.999999999996,0.04446585369489115,2023
2024,Sales and office occupations,Sales and related occupations,"Sales representatives of services, except advertising, insurance, financial services, and travel",577624.0,0.2739171444360573,54678.0,0.13313078922808833,37153.0,0.19197878699769372,91831.0,0.1454596683761595,2023
2024,Sales and office occupations,Sales and related occupations,"Sales representatives, wholesale and manufacturing",979848.0,0.4646572270912945,69192.0,0.16846968741120535,42408.0,0.21913267835701544,158472.0,0.25101855110917615,2023
2024,Sales and office occupations,Sales and related occupations,Real estate brokers and sales agents,836168.0,0.39652222004073434,98551.99999999999,0.23995584220356556,60960.0,0.3149954742653193,129032.0,0.20438579488312897,2023
2024,Sales and office occupations,Sales and related occupations,First-line supervisors of non-retail sales workers,933338.0,0.44260155352558206,96985.0,0.23614048782483166,75306.0,0.3891248225889786,179137.0,0.28375176807287394,2023
2024,Sales and office occupations,Sales and related occupations,Retail salespersons,2184466.0,1.0359034403654563,303474.0,0.7389029066572456,133966.0,0.6922356250890381,576874.0,0.9137644230687747,2023
2024,Sales and office occupations,Sales and related occupations,Cashiers,1806007.0,0.8564330434184357,413609.0,1.0070612056373747,202951.0,1.0486982693179268,606284.0,0.9603496595024719,2023
2024,Sales and office occupations,Sales and related occupations,First-line supervisors of retail sales workers,2370790.0,1.124260811284781,288096.0,0.7014603287145713,231077.0,1.1940323032612727,459153.0,0.7272951738946409,2023
2024,Sales and office occupations,Sales and related occupations,all,11131100.0,5.27851877074394,1521720.0000000002,3.70510597652011,887670.0,4.586811559073097,2493930.0,3.9503678578405497,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Other rail transportation workers,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,"Conveyor, dredge, and hoist and winch operators",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Other transportation workers,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Pumping station operators,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Air traffic controllers and airfield operations specialists,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Ship and boat captains and operators,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Machine feeders and offbearers,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Transportation inspectors,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Locomotive engineers and operators,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Sailors and marine oilers,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Passenger attendants,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Ship engineers,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,"Ambulance drivers and attendants, except emergency medical technicians",,,,,,,,,2023
