cps_year,occupation,sub_occupation_1,sub_occupation_2,total_number_employed_white,number_employed_white_per_100,total_number_employed_black,number_employed_black_per_100,total_number_employed_asian,number_employed_asian_per_100,total_number_employed_hispanic,number_employed_hispanic_per_100,acs_year
2024,"Production, transportation, and material moving occupations",Production occupations,"Other machine tool setters, operators, and tenders, metal and plastic",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Sawing machine setters, operators, and tenders, wood",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Photographic process workers and processing machine operators,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Metal furnace operators, tenders, pourers, and casters",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Furniture finishers,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Aircraft structure, surfaces, rigging, and systems assemblers",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Forming machine setters, operators, and tenders, metal and plastic",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Textile machine setters, operators, and tenders",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Other production equipment operators and tenders,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Jewelers and precious stone and metal workers,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Chemical processing machine setters, operators, and tenders",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Molders, shapers, and casters, except metal and plastic",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Cabinetmakers and bench carpenters,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Other woodworkers,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Tool and die makers,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Water and wastewater treatment plant and system operators,96406.99999999999,0.04571750852396537,8881.0,0.02162358789887436,107.0,0.000552895599514258,16692.0,0.026440012463491137,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Food batchmakers,75852.0,0.03597004840478203,14504.000000000002,0.0353145500377518,2352.0,0.012153368692126493,29302.0,0.04641416518123755,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Crushing, grinding, polishing, mixing, and blending workers",62074.0,0.029436333711417496,14349.999999999998,0.03493958859912702,2460.0,0.012711431540234344,24764.0,0.03922600459177417,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",39416.0,0.018691602435306764,9516.0,0.023169695129567437,2496.0,0.012897452489603623,11960.0,0.018944557216831654,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Sewing machine operators,84930.0,0.04027495927619757,16758.0,0.0408026220030781,3078.0000000000005,0.015904791171073705,45714.0,0.07241065958279617,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Stationary engineers and boiler operators,74208.0,0.035190441280679025,17952.0,0.043709790559688384,3648.0,0.01885012286942068,16800.0,0.026611083715950824,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Dental and ophthalmic laboratory technicians and medical appliance technicians,64800.0,0.03072903992814792,2664.0000000000005,0.006486345925301353,4248.0,0.021950472025575398,15192.000000000002,0.02406402284599553,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Helpers--production workers,50368.0,0.023885189554027072,2752.0,0.006700609604515509,4416.0,0.02281856978929872,19392.0,0.030716793774983233,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Laundry and dry-cleaning workers,69375.0,0.03289856705270466,30413.999999999996,0.07405244931385707,4995.0,0.025810406724988025,37629.0,0.05960407554449485,2023
